Dimensions,Activation,Total Memory Size (MB),NAU Loss @ 25epoch,Baseline Loss @ 25epoch,Loss Diff (NAU-Baseline) @ 25epoch,NAU Loss @ 50epoch,Baseline Loss @ 50epoch,Loss Diff (NAU-Baseline) @ 50epoch,NAU Loss @ 75epoch,Baseline Loss @ 75epoch,Loss Diff (NAU-Baseline) @ 75epoch,NAU Loss @ 100epoch,Baseline Loss @ 100epoch,Loss Diff (NAU-Baseline) @ 100epoch,NAU Loss @ 500epoch,Baseline Loss @ 500epoch,Loss Diff (NAU-Baseline) @ 500epoch,NAU Training Time @ 1000epoch (sec),Baseline Training Time @ 1000epoch (sec)
2->512->2->1,linear,0.272432,0.13548147678375244,0.10319141298532486,0.03229006379842758,0.09153523296117783,0.08595562726259232,0.00557960569858551,0.09764212369918823,0.08337634056806564,0.014265783131122589,0.09496531635522842,0.08402971923351288,0.010935597121715546,0.09619671106338501,0.08477660268545151,0.011420108377933502,13.249402284622192,8.177898168563843
2->512->4->1,linear,0.276552,0.1325681507587433,0.09763506054878235,0.03493309020996094,0.09183529019355774,0.08606268465518951,0.005772605538368225,0.09873273223638535,0.08396323770284653,0.014769494533538818,0.09104601293802261,0.08374762535095215,0.007298387587070465,0.09324856847524643,0.0845019593834877,0.008746609091758728,14.573275089263916,8.260666847229004
2->512->8->1,linear,0.284792,0.18759684264659882,0.09998998045921326,0.08760686218738556,0.09108094871044159,0.08433721959590912,0.006743729114532471,0.09490345418453217,0.0845717191696167,0.010331735014915466,0.09308779239654541,0.0847763642668724,0.008311428129673004,0.1000574603676796,0.08321836590766907,0.01683909446001053,14.388699293136597,8.484734058380127
2->512->16->1,linear,0.301272,0.22666038572788239,0.1083059161901474,0.11835446953773499,0.09764346480369568,0.08608957380056381,0.011553891003131866,0.09778593480587006,0.08436077833175659,0.013425156474113464,0.09991002082824707,0.08370117098093033,0.016208849847316742,0.10479122400283813,0.08457246422767639,0.020218759775161743,15.158486604690552,8.052361965179443
2->512->32->1,linear,0.334232,0.2844694256782532,0.10191900283098221,0.18255042284727097,0.09941593557596207,0.0861685648560524,0.013247370719909668,0.10230006277561188,0.08399020880460739,0.018309853971004486,0.09731107205152512,0.08515143394470215,0.012159638106822968,0.10958951711654663,0.08660715073347092,0.022982366383075714,18.94943070411682,8.246694803237915
2->512->64->1,linear,0.400152,0.21815583109855652,0.10689392685890198,0.11126190423965454,0.09927776455879211,0.08592106401920319,0.013356700539588928,0.09856604039669037,0.08523605018854141,0.013329990208148956,0.1047896072268486,0.08371291309595108,0.021076694130897522,0.098115935921669,0.0836973562836647,0.014418579638004303,23.85644817352295,8.806374549865723
2->512->128->1,linear,0.531992,0.20911327004432678,0.1074916273355484,0.10162164270877838,0.09178351610898972,0.08467325568199158,0.007110260426998138,0.0908823162317276,0.08471985906362534,0.006162457168102264,0.09637480229139328,0.08354327827692032,0.012831524014472961,0.10864163190126419,0.08550936728715897,0.023132264614105225,31.592697143554688,10.028090715408325
2->512->256->1,linear,0.795672,0.19469673931598663,0.10979513078927994,0.0849016085267067,0.09809574484825134,0.08590437471866608,0.012191370129585266,0.10051290690898895,0.08396003395318985,0.016552872955799103,0.10372418910264969,0.08601011335849762,0.01771407574415207,0.10528382658958435,0.08355289697647095,0.021730929613113403,48.68518781661987,12.02072525024414
2->512->512->1,linear,1.323032,0.1569734662771225,0.10374338924884796,0.053230077028274536,0.09091094881296158,0.08660156279802322,0.0043093860149383545,0.08712930977344513,0.08317745476961136,0.003951855003833771,0.09353853762149811,0.08259356766939163,0.010944969952106476,0.09928755462169647,0.08396965265274048,0.015317901968955994,84.9279899597168,16.14995265007019
2->512->1024->1,linear,2.377752,0.13832923769950867,0.11172129213809967,0.026607945561408997,0.0984659492969513,0.08583983033895493,0.012626118957996368,0.09316238015890121,0.08489085733890533,0.00827152281999588,0.09632966667413712,0.08442891389131546,0.011900752782821655,0.09574927389621735,0.08421160280704498,0.011537671089172363,155.33515858650208,24.432034492492676
2->512->2->2->1,linear,0.272464,0.15139538049697876,0.17459888756275177,-0.02320350706577301,0.10087306797504425,0.09466132521629333,0.0062117427587509155,0.0851312205195427,0.08495555818080902,0.0001756623387336731,0.08267256617546082,0.08520921319723129,-0.0025366470217704773,0.07957515120506287,0.08379080891609192,-0.004215657711029053,15.061305522918701,8.54921555519104
2->512->2->4->1,linear,0.272504,0.11642982065677643,0.11570601165294647,0.0007238090038299561,0.09777534008026123,0.08615146577358246,0.011623874306678772,0.08266246318817139,0.08475996553897858,-0.00209750235080719,0.08830952644348145,0.0852915495634079,0.0030179768800735474,0.08875715732574463,0.08420086652040482,0.004556290805339813,14.577311515808105,8.537446737289429
2->512->2->8->1,linear,0.272584,0.10743296146392822,0.10383050888776779,0.003602452576160431,0.08156556636095047,0.08648322522640228,-0.004917658865451813,0.08468196541070938,0.08266409486532211,0.002017870545387268,0.08585330098867416,0.08302249759435654,0.002830803394317627,0.08700187504291534,0.08451154083013535,0.0024903342127799988,14.942400455474854,8.313416004180908
2->512->2->16->1,linear,0.272744,0.1099831610918045,0.1809941828250885,-0.071011021733284,0.09042569249868393,0.0988549292087555,-0.008429236710071564,0.0873243510723114,0.08666729182004929,0.0006570592522621155,0.0892428532242775,0.08404996991157532,0.005192883312702179,0.08873149752616882,0.08453743904829025,0.0041940584778785706,14.616819143295288,8.510330438613892
