Dimensions,Activation,Total Memory Size (MB),NAU Loss @ 500epoch,Baseline Loss @ 500epoch,Loss Diff (NAU-Baseline) @ 500 epoch,NAU Loss @ 1000epoch,Baseline Loss @ 1000epoch,Loss Diff (NAU-Basline) @ 1000epoch,NAU Training Time @ 1000epoch (sec),Baseline Training Time @ 1000epoch (sec)
2->512->2->1,linear,0.272432,0.09138797223567963,0.09765634685754776,-0.0062683746218681335,0.08568544685840607,0.0866503119468689,-0.0009648650884628296,2.6396822929382324,1.2410836219787598
2->512->4->1,linear,0.276552,0.102333664894104,0.0847710594534874,0.017562605440616608,0.08698917180299759,0.08381982892751694,0.003169342875480652,2.3694088459014893,1.2415528297424316
2->512->8->1,linear,0.284792,0.10891410708427429,0.11412028223276138,-0.005206175148487091,0.08466785401105881,0.08396153897047043,0.0007063150405883789,2.5243968963623047,1.4197335243225098
2->512->16->1,linear,0.301272,0.11321290582418442,0.09081349521875381,0.022399410605430603,0.08883940428495407,0.08336765319108963,0.005471751093864441,2.9167749881744385,1.3005809783935547
2->512->32->1,linear,0.334232,0.12340821325778961,0.09636914730072021,0.027039065957069397,0.08954790979623795,0.07871128618717194,0.01083662360906601,4.4313881397247314,1.4625213146209717
2->512->64->1,linear,0.400152,0.10830016434192657,0.10741113126277924,0.0008890330791473389,0.08420487493276596,0.08360808342695236,0.0005967915058135986,4.4748334884643555,1.7857630252838135
2->512->2->2->1,linear,0.272464,0.1818956583738327,0.1214824765920639,0.0604131817817688,0.11085649579763412,0.09213684499263763,0.01871965080499649,3.1380324363708496,1.452488899230957
2->512->2->4->1,linear,0.272504,0.09398241341114044,0.116065114736557,-0.022082701325416565,0.08132091909646988,0.08834758400917053,-0.007026664912700653,2.5001957416534424,1.3472957611083984
2->512->2->8->1,linear,0.272584,0.14524848759174347,0.08496854454278946,0.06027994304895401,0.09550556540489197,0.08543563634157181,0.01006992906332016,2.4351327419281006,1.2938709259033203
2->512->2->16->1,linear,0.272744,0.09250953793525696,0.09129652380943298,0.0012130141258239746,0.08891186863183975,0.08211509138345718,0.006796777248382568,2.4293248653411865,1.2580626010894775
2->512->2->32->1,linear,0.273064,0.10549383610486984,0.10206697881221771,0.00342685729265213,0.08325019478797913,0.08711203187704086,-0.003861837089061737,2.38934588432312,1.3429639339447021
2->512->2->64->1,linear,0.273704,0.09710106253623962,0.1710522472858429,-0.07395118474960327,0.08529787510633469,0.0921393483877182,-0.006841473281383514,2.5177078247070312,1.2678852081298828
2->512->4->2->1,linear,0.276592,0.09132862836122513,0.08669715374708176,0.004631474614143372,0.08546098321676254,0.08517396450042725,0.00028701871633529663,2.4316513538360596,1.234316349029541
2->512->4->4->1,linear,0.276648,0.09498926997184753,0.11503276228904724,-0.020043492317199707,0.08393852412700653,0.0876162126660347,-0.0036776885390281677,2.501297950744629,1.2845172882080078
2->512->4->8->1,linear,0.27676,0.09778440743684769,0.09270914644002914,0.0050752609968185425,0.0863417312502861,0.08093412220478058,0.005407609045505524,2.4322009086608887,1.2494845390319824
2->512->4->16->1,linear,0.276984,0.11207897216081619,0.11481533944606781,-0.0027363672852516174,0.08309320360422134,0.08600501716136932,-0.0029118135571479797,2.5214388370513916,1.2572205066680908
2->512->4->32->1,linear,0.277432,0.10793109238147736,0.31938624382019043,-0.21145515143871307,0.08699450641870499,0.14606337249279022,-0.059068866074085236,2.4546430110931396,1.3072407245635986
2->512->4->64->1,linear,0.278328,0.09864278882741928,0.10550270974636078,-0.006859920918941498,0.07997144758701324,0.08754092454910278,-0.007569476962089539,2.4946670532226562,1.2655892372131348
2->512->8->2->1,linear,0.284848,0.0993693545460701,0.08197883516550064,0.017390519380569458,0.08446300029754639,0.08139986544847488,0.0030631348490715027,2.587536573410034,1.2536864280700684
2->512->8->4->1,linear,0.284936,0.09667549282312393,0.10523127764463425,-0.008555784821510315,0.08357495814561844,0.09032377600669861,-0.00674881786108017,2.5215988159179688,1.260923147201538
2->512->8->8->1,linear,0.285112,0.10008905082941055,0.10725397616624832,-0.0071649253368377686,0.08613117784261703,0.08278263360261917,0.0033485442399978638,2.5174484252929688,1.2843735218048096
2->512->8->16->1,linear,0.285464,0.1137506365776062,0.10950932651758194,0.0042413100600242615,0.08780456334352493,0.08254750818014145,0.005257055163383484,2.699713706970215,1.2898435592651367
2->512->8->32->1,linear,0.286168,0.09735333174467087,0.1639382392168045,-0.06658490747213364,0.08472391963005066,0.09176775068044662,-0.007043831050395966,2.6447184085845947,1.303849220275879
2->512->8->64->1,linear,0.287576,0.09099362790584564,0.12820091843605042,-0.03720729053020477,0.08406025916337967,0.08721718192100525,-0.00315692275762558,2.6384456157684326,1.2844257354736328
2->512->16->2->1,linear,0.30136,0.09890669584274292,0.09960366040468216,-0.0006969645619392395,0.08456669747829437,0.08185869455337524,0.0027080029249191284,2.6359341144561768,1.264866590499878
2->512->16->4->1,linear,0.301512,0.09650510549545288,0.1606147140264511,-0.06410960853099823,0.08944287896156311,0.08899514377117157,0.00044773519039154053,2.700713872909546,1.2776098251342773
2->512->16->8->1,linear,0.301816,0.10734070837497711,0.09121807664632797,0.01612263172864914,0.08693822473287582,0.08500530570745468,0.0019329190254211426,2.6511154174804688,1.2772564888000488
2->512->16->16->1,linear,0.302424,0.1280483603477478,0.09017263352870941,0.03787572681903839,0.08383167535066605,0.08353574573993683,0.00029592961072921753,2.6652402877807617,1.309119701385498
2->512->16->32->1,linear,0.30364,0.13515666127204895,0.11911209672689438,0.01604456454515457,0.08885717391967773,0.08474170416593552,0.004115469753742218,2.732544422149658,1.3012921810150146
2->512->16->64->1,linear,0.306072,0.0991668701171875,0.09249700605869293,0.006669864058494568,0.08383069187402725,0.08294335007667542,0.0008873417973518372,2.7020156383514404,1.3049681186676025
2->512->32->2->1,linear,0.334384,0.09826523065567017,0.09029361605644226,0.007971614599227905,0.08333106338977814,0.08400014042854309,-0.0006690770387649536,3.100796937942505,1.341834545135498
2->512->32->4->1,linear,0.334664,0.10015979409217834,0.11460892111063004,-0.01444912701845169,0.08318197727203369,0.08273737877607346,0.0004445984959602356,3.257629632949829,1.3125882148742676
2->512->32->8->1,linear,0.335224,0.10082224756479263,0.0993247926235199,0.0014974549412727356,0.08292091637849808,0.08422885090112686,-0.0013079345226287842,3.15451979637146,1.3358635902404785
2->512->32->16->1,linear,0.336344,0.14927341043949127,0.10257676243782043,0.04669664800167084,0.08432956039905548,0.08752508461475372,-0.003195524215698242,3.1333189010620117,1.3295392990112305
2->512->32->32->1,linear,0.338584,0.15645955502986908,0.09832502901554108,0.058134526014328,0.08636285364627838,0.08233925700187683,0.00402359664440155,3.2372031211853027,1.3470189571380615
2->512->32->64->1,linear,0.343064,0.12274599075317383,0.10910385847091675,0.01364213228225708,0.08854839950799942,0.09137097746133804,-0.002822577953338623,3.357910394668579,1.3504595756530762
2->512->64->2->1,linear,0.400432,0.09684161841869354,0.16656114161014557,-0.06971952319145203,0.0843612551689148,0.10213754326105118,-0.017776288092136383,3.821737766265869,1.3784644603729248
