GELU,0.0028915731236338615,0.5454064607620239,7.742333400528878e-05,0.5045328736305237
ReLU,0.01308572106063366,0.3510183095932007,0.00013529291027225554,0.4030345380306244
Sigmoid,0.00013661888078786433,0.11451253294944763,0.0010067381663247943,0.04659653082489967
ELU,0.0029402831569314003,0.9215431213378906,0.0002454385394230485,0.5892673134803772
Tanh,0.0005942255957052112,0.734458327293396,0.0001656119420658797,0.6027803421020508
ReLU6,0.01308572106063366,0.3510183095932007,0.00013529291027225554,0.4030345380306244
LeakyReLU,0.007679582107812166,0.4357205033302307,0.00010774610564112663,0.3850174844264984
RandReLU,0.004378840327262878,0.4684385359287262,0.0002681479090824723,0.5357711315155029
SELU,0.0023154611699283123,1.4897735118865967,0.0002723023935686797,0.8522340059280396
CELU,0.0029402831569314003,0.9215431213378906,0.0002454385394230485,0.5892673134803772
Softplus,0.000253814912866801,0.09969674795866013,0.0002987374027725309,0.03045572154223919
Hardshrink,0.07700108736753464,2.0689737796783447,0.06969188153743744,0.6132121086120605
Hardsigmoid,5.763487820331648e-07,0.09953731298446655,0.0022692212369292974,0.05427013710141182
Hardtanh,0.0016489468980580568,1.162375807762146,0.00016824646445456892,0.6796917915344238
Hardswish,0.0004573596816044301,0.5844511389732361,7.662970165256411e-05,0.5347675085067749
Tanhshrink,6.059068982722238e-05,0.5838738679885864,7.052694854792207e-05,0.5705024003982544
