Dimensions,Activation,Total Memory Size (MB),Final NAU Loss,Final Baseline Loss,NAU-Baseline,NAU Training Time (sec),Baseline Training Time (sec)
2->512->4->1,ReLU6,0.276572,0.05279920622706413,0.037085164338350296,0.015714041888713837,453.26311802864075,519.8155741691589
2->512->4->1,Softplus,0.276572,0.017522862181067467,0.055563729256391525,-0.03804086707532406,413.2875609397888,385.61610174179077
