Dimensions,Activation,Total Memory Size (MB),NAU Loss @ 25epoch,Baseline Loss @ 25epoch,Loss Diff (NAU-Baseline) @ 25epoch,NAU Loss @ 50epoch,Baseline Loss @ 50epoch,Loss Diff (NAU-Baseline) @ 50epoch,NAU Loss @ 75epoch,Baseline Loss @ 75epoch,Loss Diff (NAU-Baseline) @ 75epoch,NAU Loss @ 100epoch,Baseline Loss @ 100epoch,Loss Diff (NAU-Baseline) @ 100epoch,NAU Loss @ 500epoch,Baseline Loss @ 500epoch,Loss Diff (NAU-Baseline) @ 500epoch,NAU Training Time @ 1000epoch (sec),Baseline Training Time @ 1000epoch (sec)
2->512->2->1,linear,0.272432,0.13548147678375244,0.10319142043590546,0.032290056347846985,0.09153522551059723,0.08595562726259232,0.005579598248004913,0.09764212369918823,0.08337633311748505,0.014265790581703186,0.09496531635522842,0.08402971178293228,0.010935604572296143,0.09619671106338501,0.0847766101360321,0.011420100927352905,31.66454291343689,20.01407814025879
2->512->4->1,linear,0.276552,0.1325681507587433,0.09763504564762115,0.03493310511112213,0.09183529019355774,0.08606268465518951,0.005772605538368225,0.09873273223638535,0.08396324515342712,0.014769487082958221,0.09104601293802261,0.08374762535095215,0.007298387587070465,0.09324856847524643,0.0845019593834877,0.008746609091758728,31.990560054779053,20.078028917312622
2->512->8->1,linear,0.284792,0.18759682774543762,0.09998997300863266,0.08760685473680496,0.09108094125986099,0.08433721959590912,0.006743721663951874,0.09490345418453217,0.0845717191696167,0.010331735014915466,0.09308779239654541,0.0847763642668724,0.008311428129673004,0.10005747526884079,0.08321836590766907,0.016839109361171722,33.623481035232544,20.413466930389404
2->512->16->1,linear,0.301272,0.22666041553020477,0.1083059161901474,0.11835449934005737,0.09764347225427628,0.08608956634998322,0.01155390590429306,0.09778593480587006,0.08436077833175659,0.013425156474113464,0.09991000592708588,0.08370117843151093,0.01620882749557495,0.10479122400283813,0.0845724567770958,0.02021876722574234,35.7124388217926,20.512526750564575
2->512->32->1,linear,0.334232,0.28446945548057556,0.10191900283098221,0.18255045264959335,0.09941592812538147,0.086168572306633,0.013247355818748474,0.10230006277561188,0.0839901939034462,0.01830986887216568,0.09731105715036392,0.08515143394470215,0.012159623205661774,0.10958952456712723,0.08660715073347092,0.02298237383365631,40.627939224243164,21.532102823257446
2->512->64->1,linear,0.400152,0.2181558459997177,0.10689392685890198,0.11126191914081573,0.09927777200937271,0.08592106401920319,0.013356707990169525,0.09856604784727097,0.08523605018854141,0.013329997658729553,0.1047896146774292,0.08371292054653168,0.021076694130897522,0.0981159433722496,0.0836973637342453,0.014418579638004303,50.610552072525024,23.868271112442017
2->512->128->1,linear,0.531992,0.20911327004432678,0.1074916273355484,0.10162164270877838,0.09178352355957031,0.08467324078083038,0.007110282778739929,0.0908823162317276,0.08471985906362534,0.006162457168102264,0.09637479484081268,0.08354327827692032,0.012831516563892365,0.1086416244506836,0.08550936728715897,0.023132257163524628,69.53101968765259,27.092880725860596
2->512->256->1,linear,0.795672,0.19469675421714783,0.10979513078927994,0.08490162342786789,0.09809574484825134,0.08590437471866608,0.012191370129585266,0.10051290690898895,0.08396002650260925,0.0165528804063797,0.10372418165206909,0.08601012080907822,0.017714060842990875,0.10528381913900375,0.08355289697647095,0.021730922162532806,108.54653787612915,34.68007516860962
2->512->512->1,linear,1.323032,0.1569734662771225,0.10374338179826736,0.05323008447885513,0.09091095626354218,0.08660156279802322,0.004309393465518951,0.08712931722402573,0.08317745476961136,0.003951862454414368,0.09353853762149811,0.08259356766939163,0.010944969952106476,0.09928756207227707,0.08396965265274048,0.01531790941953659,192.74774384498596,48.70397710800171
2->512->1024->1,linear,2.377752,0.13832923769950867,0.11172129213809967,0.026607945561408997,0.09846596419811249,0.08583983778953552,0.012626126408576965,0.09316238015890121,0.08489085733890533,0.00827152281999588,0.09632965177297592,0.08442891389131546,0.011900737881660461,0.09574927389621735,0.08421161025762558,0.011537663638591766,369.0823929309845,77.24454188346863
2->512->2->1,GELU,0.272444,0.3022761344909668,0.15854819118976593,0.14372794330120087,0.2647629380226135,0.09185110777616501,0.17291183024644852,0.28003785014152527,0.08422096073627472,0.19581688940525055,0.27804094552993774,0.08502881228923798,0.19301213324069977,0.25852933526039124,0.07307330518960953,0.1854560300707817,32.59506630897522,20.976391315460205
2->512->4->1,GELU,0.276572,0.2183825671672821,0.19546718895435333,0.022915378212928772,0.11962224543094635,0.09985586255788803,0.01976638287305832,0.1012091189622879,0.08604726940393448,0.015161849558353424,0.10647852718830109,0.08547899127006531,0.02099953591823578,0.05526546388864517,0.04683852195739746,0.008426941931247711,33.34039616584778,21.318387985229492
2->512->8->1,GELU,0.284828,0.2124081552028656,0.29644596576690674,-0.08403781056404114,0.16289004683494568,0.1403074562549591,0.022582590579986572,0.15744709968566895,0.0925166979432106,0.06493040174245834,0.13835953176021576,0.08462271839380264,0.053736813366413116,0.06779325008392334,0.025646964088082314,0.042146285995841026,34.86360502243042,21.856242179870605
2->512->16->1,GELU,0.30134,0.23618239164352417,0.13167941570281982,0.10450297594070435,0.1894797384738922,0.08934907615184784,0.10013066232204437,0.16265182197093964,0.08662938326597214,0.0760224387049675,0.14787431061267853,0.08469994366168976,0.06317436695098877,0.09265915304422379,0.038507129997015,0.054152023047208786,37.44112205505371,22.295751333236694
2->512->32->1,GELU,0.334364,0.28522351384162903,0.14162275195121765,0.14360076189041138,0.2423524409532547,0.0933011993765831,0.1490512415766716,0.2195071429014206,0.08575470745563507,0.13375243544578552,0.19167958199977875,0.08581008017063141,0.10586950182914734,0.12026895582675934,0.03741307556629181,0.08285588026046753,42.653700828552246,23.1010160446167
2->512->64->1,GELU,0.400412,0.32358813285827637,0.12113416194915771,0.20245397090911865,0.3015880882740021,0.0899665504693985,0.21162153780460358,0.2768840193748474,0.08789502829313278,0.18898899108171463,0.2236662358045578,0.08421162515878677,0.13945461064577103,0.20296688377857208,0.043230436742305756,0.15973644703626633,53.17556309700012,25.685722827911377
2->512->128->1,GELU,0.532508,0.3045095205307007,0.14369849860668182,0.16081102192401886,0.260202556848526,0.09184637665748596,0.16835618019104004,0.24575679004192352,0.08542156219482422,0.1603352278470993,0.23695921897888184,0.08461010456085205,0.15234911441802979,0.17749625444412231,0.040318187326192856,0.13717806711792946,73.30963683128357,29.755746126174927
2->512->256->1,GELU,0.7967,0.21228274703025818,0.13528580963611603,0.07699693739414215,0.17698818445205688,0.09071044623851776,0.08627773821353912,0.1651948094367981,0.08643586188554764,0.07875894755125046,0.16309335827827454,0.08638474345207214,0.07670861482620239,0.11385992914438248,0.05239657312631607,0.061463356018066406,113.48931574821472,37.98590087890625
2->512->512->1,GELU,1.325084,0.1909959763288498,0.14889878034591675,0.042097195982933044,0.15330585837364197,0.09533601999282837,0.0579698383808136,0.1572357416152954,0.08689363300800323,0.07034210860729218,0.1698979139328003,0.08678772300481796,0.08311019092798233,0.0845431461930275,0.055095769464969635,0.02944737672805786,204.57016015052795,54.141204833984375
2->512->1024->1,GELU,2.381852,0.15618012845516205,0.12928767502307892,0.02689245343208313,0.13361577689647675,0.09142415970563889,0.04219161719083786,0.11172323673963547,0.08850586414337158,0.023217372596263885,0.11943018436431885,0.08581036329269409,0.033619821071624756,0.07130701839923859,0.06101630628108978,0.010290712118148804,374.3912570476532,92.32718801498413
2->512->2->1,ReLU,0.272444,0.1617753654718399,0.3291522264480591,-0.16737686097621918,0.10481519252061844,0.33211153745651245,-0.227296344935894,0.09896856546401978,0.3255214989185333,-0.22655293345451355,0.10052477568387985,0.3271193206310272,-0.22659454494714737,0.07230571657419205,0.3267977237701416,-0.25449200719594955,32.10094690322876,19.65671682357788
2->512->4->1,ReLU,0.276572,0.33458131551742554,0.09120187908411026,0.24337943643331528,0.3378676176071167,0.08443023264408112,0.2534373849630356,0.3316551446914673,0.08140166848897934,0.25025347620248795,0.32703959941864014,0.07733120769262314,0.249708391726017,0.3352298140525818,0.05386734381318092,0.28136247023940086,32.08215379714966,20.247185230255127
2->512->8->1,ReLU,0.284828,0.1833568513393402,0.09311409294605255,0.09024275839328766,0.14590933918952942,0.0875718742609024,0.058337464928627014,0.14246980845928192,0.08556005358695984,0.05690975487232208,0.12286271154880524,0.08395592868328094,0.03890678286552429,0.051222242414951324,0.050098635256290436,0.0011236071586608887,34.13040590286255,20.842119216918945
2->512->16->1,ReLU,0.30134,0.19010783731937408,0.17415851354599,0.015949323773384094,0.16311036050319672,0.10759922116994858,0.05551113933324814,0.1556674987077713,0.09474565833806992,0.060921840369701385,0.14322765171527863,0.08835262805223465,0.054875023663043976,0.05639208108186722,0.051037803292274475,0.005354277789592743,36.2179639339447,21.0657799243927
2->512->32->1,ReLU,0.334364,0.2585257589817047,0.1072365790605545,0.1512891799211502,0.2488475888967514,0.08986978232860565,0.15897780656814575,0.25249895453453064,0.08648544549942017,0.16601350903511047,0.20893779397010803,0.08617448806762695,0.12276330590248108,0.11111167073249817,0.040833309292793274,0.0702783614397049,40.965304136276245,21.90208387374878
2->512->64->1,ReLU,0.400412,0.2726582884788513,0.12964576482772827,0.14301252365112305,0.2707640528678894,0.09339593350887299,0.17736811935901642,0.27007821202278137,0.08737072348594666,0.18270748853683472,0.27790600061416626,0.08611742407083511,0.19178857654333115,0.1971161663532257,0.04727158695459366,0.14984457939863205,51.42530298233032,24.394010066986084
2->512->128->1,ReLU,0.532508,0.27461108565330505,0.1189747229218483,0.15563636273145676,0.2638399302959442,0.09254664182662964,0.17129328846931458,0.2579364776611328,0.08770701289176941,0.1702294647693634,0.2562383711338043,0.08563166856765747,0.17060670256614685,0.20710158348083496,0.04795094206929207,0.1591506414115429,70.50396585464478,28.033933877944946
2->512->256->1,ReLU,0.7967,0.23699675500392914,0.16360217332839966,0.07339458167552948,0.23292365670204163,0.10545328259468079,0.12747037410736084,0.21952681243419647,0.09192823618650436,0.1275985762476921,0.21366028487682343,0.08873317390680313,0.1249271109700203,0.15285691618919373,0.04785362631082535,0.10500328987836838,109.32729434967041,35.94945406913757
2->512->512->1,ReLU,1.325084,0.24771472811698914,0.12502744793891907,0.12268728017807007,0.21952024102210999,0.09480340778827667,0.12471683323383331,0.21667499840259552,0.08945702016353607,0.12721797823905945,0.1991972029209137,0.08654923737049103,0.11264796555042267,0.13006137311458588,0.05297825112938881,0.07708312198519707,192.36918878555298,50.08830904960632
2->512->1024->1,ReLU,2.381852,0.20756743848323822,0.12975595891475677,0.07781147956848145,0.20097404718399048,0.09250354766845703,0.10847049951553345,0.17672398686408997,0.08822553604841232,0.08849845081567764,0.14550159871578217,0.08761969208717346,0.057881906628608704,0.09213927388191223,0.06083638593554497,0.031302887946367264,370.2767198085785,78.81289505958557
2->512->2->1,Sigmoid,0.272444,0.07943049818277359,0.08454181998968124,-0.005111321806907654,0.08143097162246704,0.08498942852020264,-0.0035584568977355957,0.08104488253593445,0.08608510345220566,-0.00504022091627121,0.08519971370697021,0.0849645808339119,0.0002351328730583191,0.07772114872932434,0.08008874207735062,-0.0023675933480262756,32.17270493507385,20.820843935012817
2->512->4->1,Sigmoid,0.276572,0.08447877317667007,0.08263826370239258,0.0018405094742774963,0.08500154316425323,0.084437295794487,0.0005642473697662354,0.08375755697488785,0.08373863995075226,1.89170241355896e-05,0.08213869482278824,0.08373044431209564,-0.0015917494893074036,0.06796577572822571,0.08286605030298233,-0.014900274574756622,33.18294715881348,21.017186880111694
2->512->8->1,Sigmoid,0.284828,0.08670895546674728,0.097620889544487,-0.010911934077739716,0.0902787297964096,0.09153781831264496,-0.0012590885162353516,0.09194572269916534,0.09122872352600098,0.0007169991731643677,0.08432292938232422,0.0880199745297432,-0.003697045147418976,0.0670783668756485,0.07981055974960327,-0.012732192873954773,34.479756116867065,21.53851294517517
2->512->16->1,Sigmoid,0.30134,0.09583228826522827,0.08806043118238449,0.0077718570828437805,0.08865246176719666,0.08593510836362839,0.002717353403568268,0.08078061044216156,0.08475632220506668,-0.003975711762905121,0.07976914942264557,0.08467783033847809,-0.0049086809158325195,0.06161715090274811,0.08368539065122604,-0.022068239748477936,37.01741170883179,21.78860592842102
2->512->32->1,Sigmoid,0.334364,0.0944480374455452,0.08413790166378021,0.010310135781764984,0.0909067839384079,0.08422719687223434,0.0066795870661735535,0.08398594707250595,0.08364909887313843,0.0003368481993675232,0.08205485343933105,0.08410441875457764,-0.002049565315246582,0.07661172747612,0.08395111560821533,-0.007339388132095337,41.88990616798401,22.79033398628235
